Freq(Hz),"A,1"(DB),"A,1"(DEG)
5104511278.1955,-11.937561,-127.27659
5109147869.6742,-11.919443,-140.13118
5113784461.1529,-11.921409,-154.47444
5118421052.6316,-11.716475,-169.1779
5123057644.1103,-12.230598,176.38171
5127694235.589,-12.351336,163.50648
5132330827.0677,-12.241789,151.23335
5136967418.5464,-12.732809,137.73299
5141604010.0251,-12.463645,125.03149
5146240601.5038,-12.531684,109.09902
5150877192.9825,-12.734323,93.348473
5155513784.4612,-12.77539,76.36335
5160150375.9398,-13.437265,58.141384
5164786967.4185,-13.34071,41.080219
5169423558.8972,-13.504493,18.510265
5174060150.3759,-13.598988,-1.2812185
5178696741.8546,-13.411046,-24.467766
5183333333.3333,-13.179953,-45.941315
5187969924.812,-12.851977,-69.57354
5192606516.2907,-12.815055,-90.594849
5197243107.7694,-12.56172,-110.15881
5201879699.2481,-12.142051,-127.83956
5206516290.7268,-11.950308,-147.18016
5211152882.2055,-11.872081,-165.05959
5215789473.6842,-11.874739,179.99469
5220426065.1629,-11.774034,164.29158
5225062656.6416,-12.395649,150.39574
5229699248.1203,-12.559355,136.01346
5234335839.599,-13.044613,122.07565
5238972431.0777,-13.584394,109.16676
5243609022.5564,-14.556334,96.112419
5248245614.0351,-15.649546,83.301399
5252882205.5138,-17.00654,73.452835
5257518796.9925,-18.466047,63.554317
5262155388.4712,-20.077053,56.345222
5266791979.9499,-21.679783,53.369389
5271428571.4286,-22.124474,46.120506
5276065162.9073,-23.055702,27.478752
5280701754.386,-24.770916,15.1935
5285338345.8647,-25.702972,-7.2393012
5289974937.3434,-25.633963,-42.205574
5294611528.8221,-25.107185,-86.428474
5299248120.3008,-23.84882,-121.66205
5303884711.7794,-21.220255,-142.6066
5308521303.2581,-18.997358,-166.46304
5313157894.7368,-17.461145,173.58699
5317794486.2155,-16.492159,150.60196
5322431077.6942,-16.571728,138.11113
5327067669.1729,-15.942647,123.89365
5331704260.6516,-15.607994,108.90072
5336340852.1303,-15.316073,95.705627
5340977443.609,-15.918174,77.637276
5345614035.0877,-16.392126,60.99152
5350250626.5664,-17.8309,40.538086
5354887218.0451,-20.015299,23.818174
5359523809.5238,-23.144304,-2.2586024
5364160401.0025,-27.247585,-39.692963
5368796992.4812,-28.587048,-104.92448
5373433583.9599,-24.401733,-166.5318
5378070175.4386,-22.102804,160.9771
5382706766.9173,-19.073742,140.177
5387343358.396,-18.325321,117.06427
5391979949.8747,-18.710182,101.91066
5396616541.3534,-18.475035,90.904907
5401253132.8321,-19.058348,77.779305
5405889724.3108,-19.60503,65.848267
5410526315.7895,-21.888901,55.096031
5415162907.2682,-23.593304,61.0238
5419799498.7469,-25.846148,67.626762
5424436090.2256,-24.013821,90.903175
5429072681.7043,-21.993248,84.322258
5433709273.183,-21.382048,80.941322
5438345864.6617,-19.604658,78.584259
5442982456.1404,-18.660513,65.020187
5447619047.619,-18.207081,54.130726
5452255639.0977,-17.530434,41.208286
5456892230.5764,-18.405024,26.969307
5461528822.0551,-18.074512,11.631712
5466165413.5338,-19.441879,-9.8166609
5470802005.0125,-21.50947,-36.882954
5475438596.4912,-25.170649,-67.796715
5480075187.9699,-28.573952,-123.20738
5484711779.4486,-25.695381,164.7298
5489348370.9273,-22.710926,120.28848
5493984962.406,-19.936888,95.222015
5498621553.8847,-18.567923,70.212227
5503258145.3634,-17.938271,48.074562
5507894736.8421,-17.596321,32.082348
5512531328.3208,-17.670774,12.246905
5517167919.7995,-18.222046,-5.216114
5521804511.2782,-18.739109,-21.187672
5526441102.7569,-18.191833,-42.480053
5531077694.2356,-20.08807,-65.621498
5535714285.7143,-21.403215,-83.711121
5540350877.193,-21.878916,-107.4371
5544987468.6717,-22.886887,-135.64128
5549624060.1504,-22.847105,-169.36772
5554260651.6291,-22.932121,155.59393
5558897243.1078,-23.359077,116.73807
5563533834.5865,-24.43836,83.501045
5568170426.0652,-23.991554,60.409439
5572807017.5439,-23.218798,14.909156
5577443609.0226,-23.917997,-25.646126
5582080200.5013,-24.452158,-62.124535
5586716791.98,-24.679283,-98.374939
5591353383.4586,-23.230469,-123.42917
5595989974.9373,-22.530621,-156.12801
5600626566.416,-22.090498,-179.02196
5605263157.8947,-21.864532,161.41986
5609899749.3734,-22.058239,147.62498
5614536340.8521,-21.712496,136.45227
5619172932.3308,-21.550117,120.85577
5623809523.8095,-22.249622,108.20481
5628446115.2882,-22.999002,105.45287
5633082706.7669,-23.572355,98.194679
5637719298.2456,-24.624744,88.253601
5642355889.7243,-26.308559,110.32248
5646992481.203,-23.121523,122.32918
5651629072.6817,-20.708124,115.26261
5656265664.1604,-18.900333,105.90504
5660902255.6391,-17.13542,91.200874
5665538847.1178,-15.649539,74.364822
5670175438.5965,-15.412792,54.701984
5674812030.0752,-15.25763,35.482597
5679448621.5539,-15.675613,15.254364
5684085213.0326,-16.139959,-7.2494683
5688721804.5113,-17.345343,-31.148872
5693358395.99,-17.925823,-57.05389
5697994987.4687,-17.870344,-92.439735
5702631578.9474,-18.471687,-130.19174
5707268170.4261,-18.073874,-156.86836
5711904761.9048,-16.870411,175.81241
5716541353.3835,-15.786905,151.46997
5721177944.8622,-14.188189,130.02489
5725814536.3409,-13.990884,109.05563
5730451127.8195,-13.523187,92.656151
5735087719.2982,-12.95637,74.99382
5739724310.7769,-13.243039,58.638767
5744360902.2556,-13.183837,44.115692
5748997493.7343,-13.55358,29.50676
5753634085.213,-14.188688,15.173882
5758270676.6917,-14.902254,0.4491969
5762907268.1704,-16.383286,-10.399436
5767543859.6491,-17.182877,-17.812775
5772180451.1278,-18.033947,-28.069527
5776817042.6065,-18.96332,-34.757072
5781453634.0852,-19.113007,-41.174366
5786090225.5639,-18.817318,-52.908154
5790726817.0426,-18.311398,-67.087051
5795363408.5213,-18.200096,-81.831581
5800000000,-17.279247,-103.46107
END

