Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
5192500000,-49.891998,-136.68176,16.855669,-32.005905,-33.036327,-168.68767
5193750000,-50.886631,-151.17972,16.847549,-31.963629,-34.039082,176.85664
5195000000,-51.910236,-164.8689,16.839624,-32.194324,-35.070614,162.93678
5196250000,-52.696442,-178.67572,16.830214,-32.462254,-35.866226,148.86203
5197500000,-53.672024,164.46558,16.819712,-32.575863,-36.85231,131.88971
5198750000,-54.589985,149.47083,16.810379,-32.723392,-37.779606,116.74743
5200000000,-55.709675,124.20129,16.803049,-32.811836,-38.906624,91.389465
5201250000,-58.701946,107.55892,16.787243,-32.959457,-41.914703,74.599464
5202500000,-59.835255,103.32094,16.774921,-32.994347,-43.060333,70.326591
5203750000,-58.47401,85.847481,16.761652,-33.044846,-41.712357,52.802635
5205000000,-57.871513,58.454807,16.74682,-33.214928,-41.124695,25.239876
5206250000,-57.127735,31.984106,16.733395,-33.180862,-40.394341,-1.1967524
5207500000,-56.57695,-2.0903983,16.723246,-33.370049,-39.853706,-35.460445
5208750000,-57.432137,-32.470291,16.7117,-33.501793,-40.720436,-65.972084
5210000000,-58.072674,-56.188526,16.699804,-33.589348,-41.372868,-89.777878
5211250000,-59.019638,-81.843788,16.689213,-33.541111,-42.330425,-115.3849
5212500000,-60.507641,-101.54057,16.678709,-33.553905,-43.828934,-135.09448
5213750000,-62.139824,-131.61528,16.669128,-33.726292,-45.470695,-165.34157
5215000000,-67.90004,-156.44498,16.661737,-33.840103,-51.2383,169.71492
5216250000,-73.659111,168.50601,16.652699,-33.789143,-57.006409,134.71687
5217500000,-74.824158,32.336452,16.646654,-33.911362,-58.177502,-1.5749093
5218750000,-69.892349,-0.11187358,16.640614,-33.927086,-53.25174,-34.03896
5220000000,-63.848026,2.5322731,16.635506,-34.053452,-47.212521,-31.521179
5221250000,-58.001976,-19.63343,16.631962,-34.117664,-41.370014,-53.751095
5222500000,-55.463703,-50.513134,16.629602,-34.219334,-38.834099,-84.732468
5223750000,-54.233704,-74.10524,16.626839,-34.30291,-37.606865,-108.40815
5225000000,-54.043041,-100.0193,16.626188,-34.416649,-37.416855,-134.43594
5226250000,-55.547241,-117.30463,16.625008,-34.517635,-38.922234,-151.82227
5227500000,-56.972389,-123.72865,16.625628,-34.576031,-40.346764,-158.30467
5228750000,-57.163216,-123.69994,16.627626,-34.499615,-40.535591,-158.19955
5230000000,-56.343666,-126.61813,16.629341,-34.695339,-39.714325,-161.31348
5231250000,-55.450504,-137.25421,16.632685,-34.76516,-38.817818,-172.01936
5232500000,-55.730431,-146.95531,16.636211,-34.71257,-39.094219,178.33212
5233750000,-55.558445,-154.84839,16.641222,-34.866142,-38.917225,170.28548
5235000000,-56.103523,-165.39363,16.646345,-34.871307,-39.45718,159.73506
5236250000,-57.866711,-163.8195,16.653778,-35.029198,-41.212933,161.15129
5237500000,-55.722092,-152.81595,16.661301,-35.096535,-39.060791,172.08752
5238750000,-53.333958,-168.69235,16.669437,-35.215244,-36.66452,156.09242
5240000000,-53.281513,174.35796,16.678785,-35.294853,-36.60273,139.06311
5241250000,-53.450615,160.17638,16.686783,-35.434559,-36.763832,124.74182
5242500000,-54.909187,143.96576,16.69718,-35.66824,-38.212009,108.29752
5243750000,-57.657948,141.56229,16.70731,-35.71072,-40.950638,105.85156
5245000000,-59.159256,152.6499,16.718544,-35.876698,-42.440712,116.7732
5246250000,-58.229939,163.12749,16.730196,-35.941814,-41.499744,127.18568
5247500000,-56.366516,165.87907,16.742908,-36.006367,-39.623608,129.8727
5248750000,-55.114651,160.12643,16.754393,-36.130272,-38.360256,123.99617
5250000000,-53.851269,158.08804,16.76532,-36.327412,-37.085949,121.76065
END,,,,,,
