Freq(Hz),"A,1"(DB),"A,1"(DEG),S21(DB),S21(DEG)
4631578947.3684,-10.744778,-136.97324,-47.804096,7.8109021
4636215538.8471,-11.095761,-153.8633,-48.552372,-39.378063
4640852130.3258,-11.611772,-169.14554,-50.281738,-117.88242
4645488721.8045,-11.369185,174.90028,-55.651302,109.75694
4650125313.2832,-11.272832,158.99953,-51.404167,-23.463224
4654761904.7619,-11.17653,140.68434,-58.496658,-116.19547
4659398496.2406,-10.94942,122.16251,-52.096104,-96.371391
4664035087.7193,-10.682899,101.31611,-52.441883,159.99222
4668671679.198,-10.874917,83.18161,-58.262974,121.85269
4673308270.6767,-10.639047,63.303253,-57.115234,177.89133
4677944862.1554,-10.991426,46.530788,-52.49781,76.760445
4682581453.6341,-10.783431,32.797653,-60.996758,-33.471741
4687218045.1128,-10.394757,14.421617,-50.587181,19.554323
4691854636.5915,-10.54557,0.14923358,-45.890755,-67.03627
4696491228.0702,-9.8920965,-13.946429,-47.180904,-157.6057
4701127819.5489,-9.7611961,-32.866955,-49.564945,150.71835
4705764411.0276,-9.8828449,-48.501732,-54.530106,90.710548
4710401002.5063,-9.8749418,-62.779419,-54.669056,69.268776
4715037593.985,-9.9444199,-78.973366,-58.099277,8.4051638
4719674185.4637,-9.9112053,-92.329483,-53.14093,2.8309226
4724310776.9424,-9.9862576,-111.8638,-51.471176,-59.104366
4728947368.4211,-10.523166,-125.43072,-46.993622,170.35054
4733583959.8997,-10.332712,-141.56786,-44.472462,47.631657
4738220551.3784,-10.742982,-159.15192,-48.712971,-15.111929
4742857142.8571,-11.039118,-177.32889,-48.418941,-51.676258
4747493734.3358,-11.418345,165.49368,-45.663147,-101.53979
4752130325.8145,-11.641025,147.17754,-48.125587,-168.84367
4756766917.2932,-11.702742,129.35281,-58.485123,-153.27263
4761403508.7719,-11.606139,108.19546,-49.652409,-172.50269
4766040100.2506,-12.144217,88.997658,-50.034054,143.05942
4770676691.7293,-12.335473,71.674225,-47.670113,106.84627
4775313283.208,-12.0455,55.751289,-51.530365,57.433525
4779949874.6867,-11.846378,36.806931,-53.936333,76.82058
4784586466.1654,-11.84778,21.195566,-49.475822,23.783243
4789223057.6441,-11.444714,5.2934771,-50.252129,-6.0373149
4793859649.1228,-11.312536,-10.578317,-49.389664,-24.097244
4798496240.6015,-11.539911,-27.208948,-45.558464,-38.152245
4803132832.0802,-11.730652,-42.142422,-43.05143,-105.76172
4807769423.5589,-11.510734,-53.602528,-42.068108,-154.22528
4812406015.0376,-11.757174,-66.361473,-43.893139,169.65863
4817042606.5163,-11.123052,-78.245224,-41.67918,129.96497
4821679197.995,-10.841307,-95.545059,-40.647141,67.360283
4826315789.4737,-11.385812,-114.82751,-43.813606,12.848579
4830952380.9524,-12.813215,-127.5653,-45.675411,6.3581061
4835588972.4311,-12.848574,-137.1935,-45.431026,-46.593811
4840225563.9098,-13.273571,-148.66454,-44.811184,-77.772339
4844862155.3885,-12.703106,-164.00842,-48.188866,-135.84399
4849498746.8672,-13.32767,173.73332,-63.48275,-5.0160041
4854135338.3459,-14.017602,157.09378,-44.849442,-95.207336
4858771929.8246,-14.925708,134.99631,-40.098701,-152.54208
4863408521.3033,-16.500309,116.10624,-38.186302,149.40742
4868045112.782,-17.780149,102.99036,-38.68581,95.796967
4872681704.2607,-18.52146,86.026741,-38.732025,53.250145
4877318295.7393,-18.631628,75.981155,-38.732452,-1.4520358
4881954887.218,-17.691362,58.199345,-42.65498,-54.747211
4886591478.6967,-17.414377,33.589489,-46.391766,-86.86441
4891228070.1754,-18.484131,18.812374,-48.434525,-91.350105
4895864661.6541,-18.447992,8.3643675,-46.407429,-133.79057
4900501253.1328,-17.291027,3.0374379,-46.67868,-166.08672
4905137844.6115,-15.722826,-14.373396,-52.969883,163.34067
4909774436.0902,-15.242342,-32.529259,-44.737812,172.10268
4914411027.5689,-14.467035,-46.793396,-42.56131,109.67535
4919047619.0476,-14.301422,-62.470276,-40.772213,60.873692
4923684210.5263,-14.053684,-77.737076,-41.328625,3.4580216
4928320802.005,-14.317299,-89.306816,-42.078075,-27.653542
4932957393.4837,-13.72672,-101.8688,-42.969025,-71.396927
4937593984.9624,-13.53877,-118.37707,-44.189579,-117.20558
4942230576.4411,-14.030918,-132.60291,-47.174885,-138.59688
4946867167.9198,-14.691784,-144.89597,-43.338337,-143.12061
4951503759.3985,-15.905139,-153.83406,-39.127884,172.83632
4956140350.8772,-15.210319,-155.9677,-37.726307,120.81059
4960776942.3559,-14.665212,-168.22475,-37.037216,69.675171
4965413533.8346,-14.042343,177.83632,-38.959648,24.210768
4970050125.3133,-13.962789,161.92282,-41.010838,-16.089203
4974686716.792,-14.170064,146.92087,-40.60865,-49.277386
4979323308.2707,-13.908285,133.87602,-42.491627,-90.582771
4983959899.7494,-14.179097,117.98918,-44.267246,-125.84627
4988596491.2281,-13.620808,105.17663,-46.02282,-131.7397
4993233082.7068,-12.699446,83.082672,-45.805435,-161.26871
4997869674.1855,-12.744141,59.661251,-42.483582,174.66345
5002506265.6642,-12.839914,-66.936943,-39.963188,127.36365
5007142857.1429,-13.080659,-91.289528,-39.703438,94.511711
5011779448.6216,-13.667176,-109.88351,-39.437923,47.156116
5016416040.1003,-14.085401,-129.52827,-37.735767,-5.0481629
5021052631.5789,-14.832515,-143.72353,-38.690529,-56.534977
5025689223.0576,-14.554884,-158.85255,-42.589218,-106.24435
5030325814.5363,-14.559332,-176.13585,-43.689854,-137.73006
5034962406.015,-14.28615,169.27939,-46.296989,-169.83244
5039598997.4937,-14.101962,150.25217,-49.26878,142.67409
5044235588.9724,-14.399796,134.72458,-51.101799,156.49966
5048872180.4511,-14.365386,119.98926,-49.462795,150.13513
5053508771.9298,-13.952809,105.33418,-45.372181,107.55805
5058145363.4085,-13.425882,91.675591,-45.822941,63.935402
5062781954.8872,-12.422395,72.961044,-43.379864,26.152161
5067418546.3659,-12.06866,50.778698,-47.165844,-23.752537
5072055137.8446,-11.885519,33.461906,-50.105774,-52.089687
5076691729.3233,-11.878044,17.34384,-44.630104,-44.246655
5081328320.802,-11.540697,-1.6822789,-43.199604,-102.13395
5085964912.2807,-11.324697,-19.554573,-45.454899,-155.64935
5090601503.7594,-11.035476,-34.930447,-46.904202,169.58418
5095238095.2381,-10.708564,-54.854237,-47.15321,127.24806
5099874686.7168,-10.921882,-71.059486,-52.278225,90.216537
5104511278.1955,-10.925417,-87.351784,-49.54137,58.495708
5109147869.6742,-11.09152,-102.37666,-51.119312,-12.88501
5113784461.1529,-11.016887,-116.49178,-54.106869,-105.34174
5118421052.6316,-10.85839,-132.25433,-57.004013,83.364426
5123057644.1103,-11.457355,-147.47049,-51.505829,-24.762619
5127694235.589,-11.123027,-161.40681,-48.880707,-121.83769
5132330827.0677,-11.210065,-176.52849,-55.01746,137.12845
5136967418.5464,-11.739036,166.65018,-54.285919,-154.04524
5141604010.0251,-12.235464,154.91008,-48.858841,152.35374
5146240601.5038,-12.083365,139.90536,-46.091621,84.949867
5150877192.9825,-12.005994,123.53049,-46.08287,33.459602
5155513784.4612,-12.404628,101.36005,-46.376083,-12.5824
5160150375.9398,-13.340221,83.969643,-47.417976,-74.278358
5164786967.4185,-13.613525,64.489822,-54.698177,-64.633736
5169423558.8972,-14.476315,41.855839,-44.633602,-91.96917
5174060150.3759,-14.995708,24.899717,-42.761429,-171.26611
5178696741.8546,-14.671392,6.1935406,-46.440022,104.18129
5183333333.3333,-14.416438,-15.026978,-52.095333,81.691452
5187969924.812,-13.711502,-40.590225,-54.389145,-48.500523
5192606516.2907,-13.928839,-62.594715,-51.66114,158.79744
5197243107.7694,-14.20797,-80.813133,-47.268616,90.507927
5201879699.2481,-13.746742,-94.948425,-46.704735,29.236414
5206516290.7268,-14.05588,-111.73092,-44.820042,2.8599806
5211152882.2055,-13.68569,-122.69387,-41.577194,-51.378601
5215789473.6842,-13.148175,-138.45403,-43.608337,-111.60227
5220426065.1629,-13.269902,-151.19382,-42.692162,-145.67738
5225062656.6416,-12.749107,-162.24867,-43.063507,152.11606
5229699248.1203,-12.595708,-179.66098,-46.236389,120.36909
5234335839.599,-13.2609,169.33669,-46.128487,86.280022
5238972431.0777,-13.38422,158.55373,-49.515507,57.684963
5243609022.5564,-12.985605,146.42082,-49.044243,38.756363
5248245614.0351,-13.108068,129.9894,-49.234501,39.99548
5252882205.5138,-13.675225,114.91098,-43.681625,-8.252923
5257518796.9925,-14.428602,95.423012,-42.750191,-58.747169
5262155388.4712,-16.081215,75.608704,-44.309387,-101.33469
5266791979.9499,-18.262995,60.842651,-43.055626,-119.7184
5271428571.4286,-19.937841,41.81538,-41.085163,-166.20882
5276065162.9073,-22.586576,19.58103,-42.331276,134.46143
5280701754.386,-24.081259,-3.1662669,-45.121254,103.04024
5285338345.8647,-24.609999,-44.032635,-44.388302,94.459274
5289974937.3434,-24.699387,-84.986099,-43.89724,43.014839
5294611528.8221,-23.748035,-123.30729,-44.80386,11.64802
5299248120.3008,-23.354975,-141.10211,-44.270123,-28.5126
5303884711.7794,-23.052197,-152.84679,-45.529819,-65.789848
5308521303.2581,-22.010174,-162.30038,-43.210403,-104.992
5313157894.7368,-21.042177,-166.76714,-49.3377,-164.36786
5317794486.2155,-19.778778,177.85077,-47.497517,-162.21152
5322431077.6942,-19.435423,174.63484,-47.729778,165.5033
5327067669.1729,-18.743601,159.62492,-44.788055,114.00219
5331704260.6516,-17.927822,152.67256,-51.996929,87.666618
5336340852.1303,-17.144474,140.78722,-47.489185,75.157143
5340977443.609,-17.146313,125.38013,-43.202,37.323586
5345614035.0877,-16.728483,107.93758,-41.161373,-15.900723
5350250626.5664,-19.023993,86.97142,-41.242519,-69.212608
5354887218.0451,-21.710947,69.094406,-42.686478,-116.31651
5359523809.5238,-26.649246,71.036423,-44.185341,-135.10976
5364160401.0025,-30.347176,68.399307,-41.449074,-161.48848
5368796992.4812,-35.200645,76.638046,-38.530739,141.24281
5373433583.9599,-35.928432,172.73044,-42.029625,84.440903
5378070175.4386,-32.297512,178.68515,-44.528324,58.246181
5382706766.9173,-24.654987,-174.89352,-43.174145,22.423836
5387343358.396,-20.987633,163.75912,-46.016319,-21.118986
5391979949.8747,-20.431328,143.68794,-46.172348,-33.715218
5396616541.3534,-21.397402,124.39311,-45.739555,-80.953735
5401253132.8321,-23.043116,129.69807,-51.896809,-102.66517
5405889724.3108,-22.826452,133.87402,-42.490467,-99.276924
5410526315.7895,-21.040825,134.74092,-41.068836,-174.50659
5415162907.2682,-19.330648,123.99583,-42.39843,138.35747
5419799498.7469,-19.845819,115.27709,-47.583073,101.45853
5424436090.2256,-20.067703,113.06805,-43.936558,79.605339
5429072681.7043,-18.788845,109.9918,-45.372929,24.619621
5433709273.183,-17.698406,99.422974,-51.900532,-4.295259
5438345864.6617,-17.875313,83.182129,-49.326138,-2.7915061
5442982456.1404,-18.442209,68.662689,-48.917831,-39.167103
5447619047.619,-19.451126,57.295025,-52.853966,-63.329441
5452255639.0977,-20.872793,39.611214,-44.59169,-81.72319
5456892230.5764,-23.827101,27.413321,-43.716747,-131.19156
5461528822.0551,-31.38765,28.070381,-42.163589,-176.35796
5466165413.5338,-30.172371,74.490669,-44.054848,129.53812
5470802005.0125,-34.206623,96.372604,-45.683758,84.190849
5475438596.4912,-27.443506,103.49268,-49.340935,77.988892
5480075187.9699,-25.876057,110.83113,-44.645519,51.270138
5484711779.4486,-22.393944,103.24391,-48.089493,-17.294281
5489348370.9273,-20.659103,78.342964,-47.301731,0.72250426
5493984962.406,-22.801973,62.058224,-44.330109,-73.952415
5498621553.8847,-23.629683,61.325367,-49.343288,-92.037971
5503258145.3634,-22.927626,58.230965,-51.232681,-146.31549
5507894736.8421,-22.86025,54.816467,-47.663387,-137.6306
5512531328.3208,-21.530035,30.214811,-45.401741,177.71608
5517167919.7995,-25.782709,12.095684,-45.499027,127.18851
5521804511.2782,-27.373001,24.231504,-44.141991,73.915581
5526441102.7569,-28.360664,24.853971,-48.576321,28.798615
5531077694.2356,-25.984455,20.387659,-50.272289,-7.1526766
5535714285.7143,-25.376596,12.735792,-52.729023,10.810529
5540350877.193,-24.054443,-8.2007332,-44.55579,-30.905781
5544987468.6717,-24.643614,-35.1577,-43.547031,-93.604675
5549624060.1504,-24.921637,-72.192696,-45.400864,-156.92117
5554260651.6291,-30.936422,-104.62324,-45.380852,161.93404
5558897243.1078,-32.608273,-94.655167,-47.928535,87.688309
5563533834.5865,-30.858944,-100.67741,-55.695126,69.599869
5568170426.0652,-25.903254,-138.48465,-55.203606,5.4794025
5572807017.5439,-25.044334,175.42989,-57.225388,-90.025894
5577443609.0226,-26.998964,136.37825,-60.093643,153.09641
5582080200.5013,-27.797724,104.532,-56.601212,49.678917
5586716791.98,-29.47366,44.677475,-48.04863,18.100313
5591353383.4586,-31.481977,-19.184153,-46.837051,-39.027847
5595989974.9373,-29.37385,-65.768555,-44.317417,-100.43831
5600626566.416,-26.336374,-111.198,-42.821339,-154.26834
5605263157.8947,-26.363129,-136.76222,-41.158386,148.90303
5609899749.3734,-25.627409,-143.88828,-40.802078,92.538567
5614536340.8521,-23.675072,-154.93353,-41.083218,30.933613
5619172932.3308,-21.739281,-171.60298,-45.33548,-24.841656
5623809523.8095,-20.682518,170.83452,-45.869934,-44.797089
5628446115.2882,-21.358036,158.638,-46.207542,-102.03587
5633082706.7669,-21.494316,151.94646,-53.451675,166.54988
5637719298.2456,-21.133261,150.76015,-52.636753,-67.384857
5642355889.7243,-20.706699,142.92181,-47.117817,-133.18941
5646992481.203,-19.85006,144.19641,-46.743153,-175.86656
5651629072.6817,-18.012743,134.31439,-46.258957,145.05858
5656265664.1604,-17.153074,117.3238,-46.183174,98.265366
5660902255.6391,-16.706068,104.68087,-48.30603,82.721329
5665538847.1178,-16.311327,86.178467,-44.256828,49.079983
5670175438.5965,-17.002377,74.324432,-42.759373,-11.576148
5674812030.0752,-17.190153,53.558083,-44.553993,-61.193508
5679448621.5539,-18.669476,30.557474,-48.855816,-81.730988
5684085213.0326,-19.696955,16.887825,-46.479847,-122.04665
5688721804.5113,-20.874893,-14.050392,-48.366863,-170.27373
5693358395.99,-23.957348,-39.131847,-47.690704,160.97787
5697994987.4687,-23.392666,-70.682861,-54.15036,83.314941
5702631578.9474,-22.972319,-111.64397,-52.876492,107.23316
5707268170.4261,-21.08547,-143.04567,-52.003746,155.21567
5711904761.9048,-20.390793,-169.45454,-47.454552,54.324596
5716541353.3835,-19.155859,170.40492,-60.542881,46.563026
5721177944.8622,-17.823322,154.13609,-47.160652,15.79219
5725814536.3409,-17.986032,135.65112,-45.641273,-27.960651
5730451127.8195,-18.127197,133.0896,-45.129902,-67.510727
5735087719.2982,-16.791708,126.41141,-42.924168,-107.31113
5739724310.7769,-15.379693,114.04145,-40.790154,-166.78488
5744360902.2556,-14.594401,102.97769,-42.419724,146.81873
5748997493.7343,-13.708532,84.507423,-42.202389,97.321526
5753634085.213,-14.116999,73.162018,-45.794373,40.615883
5758270676.6917,-13.579715,61.101563,-49.470291,26.796968
5762907268.1704,-13.350142,46.381489,-50.384998,-0.89238977
5767543859.6491,-13.482954,30.595577,-47.609589,-24.062178
5772180451.1278,-13.438384,13.596737,-46.749561,-78.488281
5776817042.6065,-13.963196,-2.2122939,-53.44136,-136.58842
5781453634.0852,-13.923301,-21.71051,-49.63982,-108.42866
5786090225.5639,-14.626564,-43.518177,-50.173569,-172.96364
5790726817.0426,-16.093891,-64.617432,-53.458221,170.9574
5795363408.5213,-16.320452,-76.529442,-47.815914,124.22446
5800000000,-16.595413,-103.03685,-53.563072,112.94739
END

