Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4580000000,-20.912392,-17.285118,16.34561,-53.297409,-4.5667825,-70.582527
4585000000,-21.065998,-31.519381,16.38484,-53.891354,-4.6811571,-85.410728
4590000000,-21.167545,-45.599617,16.415497,-54.545712,-4.752048,-100.14532
4595000000,-21.26206,-59.790104,16.441114,-55.215809,-4.8209467,-115.00591
4600000000,-21.042297,-73.327492,16.461479,-55.698658,-4.5808191,-129.02614
4605000000,-20.976969,-87.475723,16.489155,-56.593613,-4.4878149,-144.06934
4610000000,-20.765551,-101.54547,16.501497,-57.205589,-4.2640543,-158.75105
4615000000,-20.667513,-120.02065,16.506674,-57.917095,-4.1608391,-177.93774
4620000000,-21.024494,-135.06068,16.522715,-58.439651,-4.5017781,166.49968
4625000000,-21.197868,-147.61765,16.530766,-58.771496,-4.6671014,153.61086
4630000000,-21.149208,-162.11,16.536392,-59.398926,-4.6128163,138.49107
4635000000,-21.228186,-175.97101,16.541086,-60.001801,-4.6870999,124.02721
4640000000,-21.075264,170.16959,16.541502,-60.447441,-4.533762,109.72215
4645000000,-21.128372,155.37343,16.538877,-60.752422,-4.5894942,94.62101
4650000000,-21.099234,141.49918,16.544989,-61.093761,-4.5542455,80.405411
4655000000,-21.041176,125.09412,16.553226,-61.608177,-4.4879503,63.485954
4660000000,-21.42655,110.2623,16.569147,-62.075562,-4.8574038,48.186741
4665000000,-21.732376,98.746399,16.591343,-62.444923,-5.1410332,36.301483
4670000000,-21.405159,87.139198,16.613047,-62.946888,-4.7921128,24.192312
4675000000,-21.130251,71.45916,16.642021,-63.304863,-4.4882302,8.1542978
4680000000,-21.365831,54.931614,16.671139,-63.872604,-4.6946921,-8.9409885
4685000000,-21.697401,42.868294,16.704853,-64.412804,-4.9925489,-21.54451
4690000000,-21.47711,31.807573,16.743711,-65.002007,-4.7333984,-33.194435
4695000000,-21.366764,16.67164,16.780575,-65.66098,-4.5861897,-48.989346
4700000000,-21.289497,2.1701789,16.811264,-66.335854,-4.4782329,-64.16568
4705000000,-21.520523,-11.014811,16.827473,-67.092896,-4.693049,-78.107712
4710000000,-21.224257,-20.610619,16.838091,-67.88163,-4.3861651,-88.492249
4715000000,-20.459885,-36.976536,16.845577,-68.594841,-3.614306,-105.57138
4720000000,-20.517189,-54.231724,16.845284,-69.383224,-3.6719058,-123.61495
4725000000,-20.888933,-67.90239,16.832224,-69.994431,-4.0567093,-137.89682
4730000000,-20.449194,-78.882652,16.817526,-70.810081,-3.6316667,-149.69273
4735000000,-20.103292,-96.555283,16.787512,-71.523758,-3.3157799,-168.07904
4740000000,-20.140003,-111.80229,16.749079,-72.145554,-3.3909252,176.05217
4745000000,-20.264935,-126.85635,16.705193,-72.736649,-3.5597415,160.40701
4750000000,-20.148188,-140.36255,16.668938,-73.110466,-3.479249,146.52698
4755000000,-19.813122,-155.15306,16.633835,-73.735222,-3.1792865,131.11172
4760000000,-19.801247,-172.1183,16.602243,-74.103462,-3.199003,113.77824
4765000000,-19.83754,172.65872,16.57967,-74.507759,-3.257869,98.15097
4770000000,-19.932543,157.20653,16.559259,-74.828133,-3.3732843,82.378395
4775000000,-19.949909,141.8797,16.5492,-75.059158,-3.4007075,66.820549
4780000000,-20.288692,125.24399,16.543058,-75.598816,-3.7456346,49.645172
4785000000,-20.619484,113.7581,16.547792,-75.940071,-4.071692,37.818027
4790000000,-20.214796,99.767143,16.569393,-76.183067,-3.6454048,23.584072
4795000000,-20.169571,82.74353,16.58923,-76.607796,-3.5803401,6.1357322
4800000000,-20.52471,68.362,16.608595,-76.853455,-3.916116,-8.4914551
4805000000,-20.665928,55.109158,16.630459,-77.308434,-4.0354691,-22.199272
4810000000,-20.60043,38.989273,16.657452,-77.824814,-3.9429777,-38.835541
4815000000,-20.789906,27.455698,16.68313,-78.434998,-4.1067753,-50.979298
4820000000,-20.456316,11.265191,16.70776,-78.960495,-3.7485566,-67.695313
4825000000,-20.668016,-3.953824,16.7318,-79.315353,-3.9362147,-83.26918
4830000000,-20.798311,-18.73728,16.743231,-79.978783,-4.0550795,-98.716057
4835000000,-20.969072,-32.682877,16.746862,-80.511436,-4.222209,-113.19431
4840000000,-20.920347,-46.471951,16.755041,-80.963448,-4.1653066,-127.4354
4845000000,-20.937696,-61.9324,16.752609,-81.487221,-4.1850863,-143.41962
4850000000,-21.076063,-76.431068,16.744467,-82.055603,-4.3315964,-158.48668
4855000000,-21.256836,-91.617813,16.734243,-82.832588,-4.522594,-174.45039
4860000000,-21.409246,-106.05848,16.707323,-83.336349,-4.7019215,170.60518
4865000000,-21.963041,-120.44216,16.684732,-83.789162,-5.2783108,155.76868
4870000000,-22.161827,-129.87292,16.662388,-84.116379,-5.4994397,146.01071
4875000000,-21.929474,-142.82056,16.644646,-84.434479,-5.2848277,132.74498
4880000000,-21.596569,-155.95683,16.623049,-84.799896,-4.9735188,119.24329
4885000000,-21.630466,-171.04625,16.593508,-85.101921,-5.0369577,103.85184
4890000000,-21.756327,176.24004,16.577585,-85.515175,-5.1787405,90.724861
4895000000,-21.637894,162.91119,16.553305,-85.839294,-5.0845876,77.071892
4900000000,-21.280643,148.80157,16.544132,-86.018372,-4.7365131,62.783211
4905000000,-21.488697,134.85429,16.531319,-86.438683,-4.957377,48.4156
4910000000,-21.147997,121.86275,16.529593,-86.550774,-4.6184049,35.311985
4915000000,-20.9007,107.80491,16.543127,-87.005898,-4.3575721,20.799006
4920000000,-20.543034,91.650787,16.560501,-87.348427,-3.9825308,4.3023567
4925000000,-20.692982,75.190903,16.581142,-87.828453,-4.1118383,-12.63755
4930000000,-20.780947,60.738354,16.599495,-88.448471,-4.1814518,-27.710115
4935000000,-21.104113,46.423401,16.618168,-89.076469,-4.4859457,-42.653069
4940000000,-20.843731,33.925819,16.630102,-89.699722,-4.2136297,-55.773903
4945000000,-20.800621,19.535675,16.647364,-90.30442,-4.1532574,-70.768745
4950000000,-20.598974,3.8651404,16.666428,-90.794708,-3.9325466,-86.929565
4955000000,-20.645124,-9.672349,16.681416,-91.560127,-3.9637098,-101.23248
4960000000,-20.510136,-25.206251,16.674049,-92.188721,-3.8360863,-117.39497
4965000000,-20.171698,-40.559097,16.669252,-92.809128,-3.5024445,-133.36823
4970000000,-20.476524,-58.141037,16.657148,-93.376701,-3.8193741,-151.51773
4975000000,-20.890045,-72.714859,16.634388,-93.883316,-4.2556591,-166.59818
4980000000,-21.054596,-84.696304,16.623034,-94.408447,-4.4315619,-179.10475
4985000000,-20.960892,-99.19017,16.598312,-94.904327,-4.3625789,165.9055
4990000000,-20.972952,-113.17207,16.571068,-95.423874,-4.4018831,151.40407
4995000000,-20.816784,-127.82095,16.548668,-95.633659,-4.2681165,136.54538
5000000000,-20.934605,-144.93448,16.523775,-95.932831,-4.4108305,119.13271
END,,,,,,
