Freq(Hz),S21(DB),S21(DEG)
4000000000,-44.020535,-132.03244
4018181818.1818,-43.014591,143.5062
4036363636.3636,-35.475025,78.470856
4054545454.5455,-37.700516,4.4654999
4072727272.7273,-34.968136,-70.83493
4090909090.9091,-39.18195,-158.17593
4109090909.0909,-37.058571,131.82724
4127272727.2727,-35.200058,75.829506
4145454545.4545,-35.727779,-22.482645
4163636363.6364,-34.393456,-83.598534
4181818181.8182,-33.25642,-159.94044
4200000000,-36.021725,122.66151
4218181818.1818,-34.173553,45.847935
4236363636.3636,-37.950432,-10.088202
4254545454.5455,-35.427952,-71.254303
4272727272.7273,-34.70417,-128.29207
4290909090.9091,-35.860222,164.96494
4309090909.0909,-33.925453,110.46655
4327272727.2727,-35.229996,29.800591
4345454545.4545,-35.088467,-42.279007
4363636363.6364,-35.730133,-138.13408
4381818181.8182,-33.402836,154.68677
4400000000,-35.743023,84.520622
4418181818.1818,-33.831535,12.068025
4436363636.3636,-33.239933,-53.616783
4454545454.5455,-31.552456,-123.47123
4472727272.7273,-32.876316,167.24358
4490909090.9091,-32.731045,94.344666
4509090909.0909,-33.765511,31.203262
4527272727.2727,-32.746014,-18.46756
4545454545.4545,-32.202442,-83.810387
4563636363.6364,-31.989637,-163.15572
4581818181.8182,-31.13938,120.17275
4600000000,-32.159145,50.57325
4618181818.1818,-31.372637,-24.03138
4636363636.3636,-31.34664,-110.15987
4654545454.5455,-32.946598,-177.99428
4672727272.7273,-34.647148,124.91209
4690909090.9091,-33.205647,66.236465
4709090909.0909,-31.33033,-3.8669889
4727272727.2727,-30.845787,-69.282059
4745454545.4545,-33.170959,-137.6797
4763636363.6364,-31.338514,154.06291
4781818181.8182,-31.215122,81.043846
4800000000,-31.859055,12.204346
4818181818.1818,-33.244232,-61.895523
4836363636.3636,-33.534359,-139.49883
4854545454.5455,-30.671333,161.51933
4872727272.7273,-31.175093,81.740776
4890909090.9091,-31.216698,18.754267
4909090909.0909,-30.363449,-46.344444
4927272727.2727,-28.482212,-118.5695
4945454545.4545,-29.385395,163.13614
4963636363.6364,-29.86241,97.385895
4981818181.8182,-31.833971,28.862682
5000000000,-31.54689,-14.551361
5018181818.1818,-31.194834,-87.827255
5036363636.3636,-31.708467,-162.72757
5054545454.5455,-31.833242,111.46432
5072727272.7273,-31.321871,57.478119
5090909090.9091,-32.223942,-21.848051
5109090909.0909,-32.01614,-105.5182
5127272727.2727,-31.524712,-155.36485
5145454545.4545,-30.891148,143.40683
5163636363.6364,-30.04657,76.354492
5181818181.8182,-29.209429,-0.84492826
5200000000,-29.075317,-64.871025
5218181818.1818,-30.690273,-138.72423
5236363636.3636,-31.68648,164.53748
5254545454.5455,-32.399353,87.795441
5272727272.7273,-31.825241,20.445757
5290909090.9091,-31.743752,-45.139256
5309090909.0909,-32.132259,-115.68711
5327272727.2727,-31.025755,164.18646
5345454545.4545,-30.040409,107.66631
5363636363.6364,-30.474617,33.285488
5381818181.8182,-29.614681,-31.36651
5400000000,-29.185678,-103.14059
5418181818.1818,-30.652922,-171.95271
5436363636.3636,-31.666162,123.58647
5454545454.5455,-30.722233,67.669525
5472727272.7273,-30.1362,-0.087087631
5490909090.9091,-29.397642,-77.925781
5509090909.0909,-31.256275,-150.03876
5527272727.2727,-32.040688,134.99855
5545454545.4545,-32.681919,83.025208
5563636363.6364,-30.692411,4.9194498
5581818181.8182,-30.567698,-66.361801
5600000000,-31.447502,-138.06335
5618181818.1818,-31.459068,155.51935
5636363636.3636,-31.167122,87.677231
5654545454.5455,-31.178125,20.660709
5672727272.7273,-32.55497,-43.644241
5690909090.9091,-31.856647,-90.435837
5709090909.0909,-32.63065,-171.5428
5727272727.2727,-31.763083,115.50817
5745454545.4545,-32.686619,42.132523
5763636363.6364,-33.808331,-26.639008
5781818181.8182,-32.95483,-81.222473
5800000000,-31.133883,-153.1008
END

