Freq(Hz),S21(DB),S21(DEG),"a1,1"(DB),"a1,1"(DEG),"b2,1"(DB),"b2,1"(DEG)
6697500000,-48.191387,-69.557602,17.165268,-1.9578336,-33.408283,-54.634201
6765000000,-56.58736,70.957787,17.221313,-2.8391507,-50.853855,-103.09783
6832500000,-39.604839,125.25787,17.189032,-0.35686305,-26.858526,118.19577
6900000000,-49.846924,-135.89284,17.1621,-0.51519477,-32.487778,-163.79135
6967500000,-42.127388,-17.080414,17.19615,-2.1487358,-27.258165,-77.1269
7035000000,-40.733982,62.07811,17.191257,-1.1873368,-28.6724,-16.477446
7102500000,-43.472172,-177.73299,17.186008,-1.2091533,-31.77615,98.55619
7170000000,-42.976837,-72.089264,17.200478,-1.4124867,-30.747166,-172.24103
7237500000,-45.097996,40.454063,17.157497,-0.19587108,-29.880898,-81.434616
7305000000,-43.247986,152.22736,17.183807,-1.5571638,-30.516283,-0.14027144
7372500000,-45.279812,-86.710945,17.242487,-2.023586,-34.244045,116.67449
7440000000,-41.134052,9.7560539,17.077009,-0.17089184,-28.870813,-156.25226
7507500000,-43.794785,139.57404,16.941957,-0.16758922,-29.346649,-53.09333
7575000000,-40.074879,-110.2784,17.005335,-1.524853,-27.051332,37.450504
7642500000,-44.309772,-15.535338,16.978085,-0.30727044,-31.789404,113.05951
7710000000,-40.199913,129.76352,16.965996,-0.7709074,-27.504425,-119.79525
7777500000,-44.220352,-123.14741,16.986094,-0.99109995,-32.298195,-23.351583
7845000000,-40.61338,24.553616,16.900169,0.17619014,-28.053871,103.4651
7912500000,-48.036171,150.60884,16.7672,-0.82641369,-38.962666,-141.75815
7980000000,-41.04089,-90.347107,16.854988,-2.129283,-27.536869,-51.006496
8047500000,-46.365879,70.994652,16.776468,0.20882885,-35.643578,89.047775
8115000000,-42.379555,163.28668,16.718573,0.067712627,-30.310694,-179.09566
8182500000,-47.849258,-10.989877,16.804012,-1.7679738,-35.899315,-17.610003
8250000000,-43.028107,69.137421,16.825844,-0.3862474,-30.191788,41.595905
8317500000,-45.109058,-144.70111,16.694868,0.14382373,-34.205395,175.99411
8385000000,-40.808189,-50.791859,16.633739,-1.4869714,-29.116783,-105.64996
8452500000,-45.896759,70.518341,16.594835,-0.22146671,-32.741352,-11.777696
8520000000,-49.055313,-178.40085,16.52446,0.12211125,-37.919872,86.369865
8587500000,-63.231312,-31.030939,16.612026,-1.868687,-52.592655,-116.79393
8655000000,-46.286297,88.107933,16.612127,-0.50655454,-33.359619,-43.359337
8722500000,-48.65406,-58.034641,16.544535,0.59028035,-36.011074,169.15552
8790000000,-51.340149,-17.32165,16.587631,-1.4406005,-37.708374,170.04851
8857500000,-43.210926,-117.68136,16.597153,-0.93620509,-31.482771,46.96553
8925000000,-55.030804,-46.866634,16.466148,0.29427749,-42.685623,136.19695
8992500000,-42.326656,80.656914,16.402624,-1.1531066,-31.422112,-138.1877
9060000000,-42.540154,-177.07983,16.35767,-0.58987105,-30.752821,-49.228775
9127500000,-42.734676,-34.957703,16.363974,0.0048603266,-31.247482,65.260468
9195000000,-44.509022,44.026451,16.393835,-1.3006512,-33.271675,139.52605
9262500000,-42.652603,-153.89499,16.34873,-0.6097337,-30.870705,-88.679146
9330000000,-44.135902,-82.179863,16.378132,0.7222532,-33.565464,-29.870951
9397500000,-43.171265,78.032829,16.424356,-0.46110612,-31.726805,112.53445
9465000000,-52.056156,155.63676,16.357189,-0.74151206,-41.182354,170.21965
9532500000,-47.646557,-44.88443,16.247995,0.53899747,-36.17408,-45.583309
9600000000,-59.644634,-42.638828,16.208704,-0.29489365,-47.609829,-72.691208
9667500000,-46.25156,-88.661438,16.135084,-0.32196906,-35.808758,-124.44507
9735000000,-51.478901,99.007263,16.196402,1.0022368,-41.192356,50.465965
9802500000,-42.672215,179.92238,16.27071,-0.35112369,-31.903717,109.98512
9870000000,-44.402229,-49.828987,16.088516,-0.53322113,-33.371189,-132.56264
9937500000,-41.027584,56.655384,16.149494,1.4392844,-29.45429,-48.402073
10005000000,-40.969849,159.95164,16.504595,0.47628245,-28.868687,39.863621
10072500000,-42.916618,-80.856056,16.320662,-0.31868115,-32.069916,128.57405
10140000000,-44.87505,22.214817,16.261511,1.0642709,-34.76371,-129.45988
10207500000,-46.48756,132.4303,16.285204,0.62316614,-33.793713,-33.296143
10275000000,-65.11869,-115.68871,16.115002,-0.029379869,-44.804035,89.514008
10342500000,-52.896938,23.709101,16.160315,1.4905479,-42.22654,155.73347
10410000000,-57.476604,21.207329,16.338533,1.3065722,-45.056957,112.03223
10477500000,-69.59388,53.827312,16.105743,-0.414529,-46.974705,122.72964
10545000000,-49.639492,-163.97978,16.04948,1.3334539,-41.449738,-56.551548
10612500000,-51.489754,-70.362175,16.33432,2.0875819,-43.140862,35.972321
10680000000,-47.4851,76.115784,16.172709,-0.1749593,-35.226219,141.29893
10747500000,-50.616371,177.4693,16.023832,0.37567532,-40.791782,-135.63118
10815000000,-45.452663,-55.689362,16.299131,2.395016,-35.186901,-24.039694
10882500000,-50.643955,61.199425,16.187689,0.12930608,-41.156796,67.614082
10950000000,-47.479725,-173.67979,16.059792,0.79029822,-35.544563,-175.06221
11017500000,-48.966274,-117.35167,16.339949,2.5671244,-38.22068,-141.00287
11085000000,-54.356506,14.43851,16.177753,0.040218677,-42.847927,-22.080696
11152500000,-52.040874,61.590828,16.059547,0.57417738,-41.472309,-0.36218214
11220000000,-55.67601,133.79726,16.287224,3.0643594,-45.34729,65.819336
11287500000,-48.296276,-115.29076,16.255127,0.91202784,-36.969265,155.62387
11355000000,-52.428665,-44.392387,16.024986,0.04351379,-43.571011,-166.27863
11422500000,-47.984257,92.171089,16.20118,2.2915971,-37.961411,-39.42979
11490000000,-44.731266,154.87515,16.259064,1.0932667,-34.498207,14.503594
11557500000,-48.43132,-96.532288,16.113373,0.3459911,-37.052086,102.01049
11625000000,-45.273335,2.925005,16.229847,2.6465921,-33.802109,-173.1403
11692500000,-46.867767,89.085243,16.26848,1.1804544,-36.177101,-111.55576
11760000000,-47.604523,-153.56924,16.076868,-0.33499745,-37.505707,-8.8937941
11827500000,-50.843006,-0.81809086,16.195971,2.6594982,-39.901157,133.56143
11895000000,-51.373997,91.217445,16.287388,1.8163898,-39.256237,-154.21147
11962500000,-57.166794,-138.92958,16.160913,-0.094903305,-44.157093,-49.53896
12030000000,-52.707371,-0.007720334,16.118647,2.2579222,-41.997147,75.799011
12097500000,-55.694668,-60.628365,16.067944,1.7188112,-45.220589,-1.5242729
12165000000,-49.204479,1.1951436,16.113829,-0.0032051213,-38.644901,39.532051
12232500000,-46.321163,128.46402,16.116159,2.6841791,-35.656357,153.15227
12300000000,-44.887135,-129.26624,16.086039,2.4079528,-34.473331,-122.85254
12367500000,-45.449341,-9.762187,16.120552,-0.47270066,-34.859859,-24.197182
12435000000,-46.056507,110.08255,16.129648,1.8274039,-35.515667,81.116241
12502500000,-46.037098,-111.00128,16.271141,2.7018645,-35.343536,-156.94679
12570000000,-49.603348,9.4410458,16.153748,-0.027005611,-39.103832,-56.312447
