Freq(Hz),S21(DB),S21(DEG)
4000000000,-38.014935,-28.974226
4018181818.1818,-37.856594,-114.73598
4036363636.3636,-37.640148,145.18832
4054545454.5455,-36.694973,65.394783
4072727272.7273,-39.941845,-8.3356256
4090909090.9091,-45.40696,-51.545506
4109090909.0909,-43.571537,-158.08699
4127272727.2727,-37.582447,140.56967
4145454545.4545,-46.486805,31.482517
4163636363.6364,-42.131172,-18.707369
4181818181.8182,-40.70792,-122.6805
4200000000,-46.591911,-162.1311
4218181818.1818,-41.536491,86.356377
4236363636.3636,-47.677994,12.681441
4254545454.5455,-43.976578,-41.951408
4272727272.7273,-37.371037,-92.422646
4290909090.9091,-36.021767,-171.83769
4309090909.0909,-34.973862,129.1651
4327272727.2727,-37.05904,50.866558
4345454545.4545,-39.188419,-19.438105
4363636363.6364,-40.552353,-167.57874
4381818181.8182,-36.247444,131.21852
4400000000,-38.036903,51.452297
4418181818.1818,-38.072872,-25.950319
4436363636.3636,-35.298557,-90.082733
4454545454.5455,-32.839737,-165.56729
4472727272.7273,-36.752335,120.73172
4490909090.9091,-36.967854,43.804859
4509090909.0909,-38.321079,-12.627956
4527272727.2727,-43.270302,-67.319595
4545454545.4545,-51.585987,-145.50351
4563636363.6364,-44.422188,122.50146
4581818181.8182,-38.740875,31.883009
4600000000,-37.784729,-54.949566
4618181818.1818,-36.88126,-112.66302
4636363636.3636,-32.236156,168.29054
4654545454.5455,-33.098732,84.495209
4672727272.7273,-33.904091,-5.2935882
4690909090.9091,-36.130043,-73.748985
4709090909.0909,-36.470844,-142.43701
4727272727.2727,-38.015141,139.30482
4745454545.4545,-35.072422,56.74913
4763636363.6364,-35.581753,-22.266006
4781818181.8182,-35.878654,-96.360451
4800000000,-37.428757,-164.12431
4818181818.1818,-35.808952,111.46409
4836363636.3636,-34.507706,40.259666
4854545454.5455,-35.973747,-33.681374
4872727272.7273,-38.495243,-115.00288
4890909090.9091,-35.375999,173.19412
4909090909.0909,-38.425591,91.209587
4927272727.2727,-38.956139,-3.0874183
4945454545.4545,-39.810783,-55.123337
4963636363.6364,-39.148308,-138.60405
4981818181.8182,-37.425217,143.82959
5000000000,-32.802444,68.429504
5018181818.1818,-34.107117,-3.5505905
5036363636.3636,-34.66898,-84.925568
5054545454.5455,-39.547539,-145.28604
5072727272.7273,-38.742725,120.19226
5090909090.9091,-43.737469,64.546181
5109090909.0909,-43.876431,-26.433014
5127272727.2727,-38.936882,-108.27525
5145454545.4545,-35.959641,178.33284
5163636363.6364,-35.290348,117.49969
5181818181.8182,-34.633015,29.289385
5200000000,-36.280571,-52.048466
5218181818.1818,-38.532478,-120.51746
5236363636.3636,-43.487446,-160.81427
5254545454.5455,-43.458649,111.52361
5272727272.7273,-41.006935,40.795609
5290909090.9091,-39.618355,-28.723745
5309090909.0909,-40.035797,-138.88573
5327272727.2727,-37.558273,144.75307
5345454545.4545,-37.607212,89.726685
5363636363.6364,-37.490646,13.262978
5381818181.8182,-36.259159,-65.299324
5400000000,-35.284428,-142.20447
5418181818.1818,-36.556496,133.28494
5436363636.3636,-41.083149,34.19022
5454545454.5455,-45.275257,-12.448166
5472727272.7273,-44.367352,-76.430939
5490909090.9091,-41.334381,-159.77103
5509090909.0909,-40.093868,98.802086
5527272727.2727,-37.813427,28.339752
5545454545.4545,-39.621857,-65.837067
5563636363.6364,-38.707897,-113.70331
5581818181.8182,-40.442505,-178.6413
5600000000,-39.550697,133.37614
5618181818.1818,-38.448235,55.351555
5636363636.3636,-42.500195,-20.517979
5654545454.5455,-42.652012,-129.28107
5672727272.7273,-43.383492,152.08734
5690909090.9091,-40.934673,45.441845
5709090909.0909,-39.649582,-5.9647188
5727272727.2727,-39.981041,-73.550842
5745454545.4545,-44.624886,-129.9323
5763636363.6364,-40.017029,153.97821
5781818181.8182,-40.931683,65.384918
5800000000,-53.727322,7.7611442
END

