BEGIN CH1_DATA
Freq(Hz),"a1,1"(DB),"a1,1"(DEG)
14325000000,15.784207,2.1319611
14392500000,15.339951,4.3563175
14460000000,15.355609,-1.0752853
14527500000,15.90755,2.6775832
14595000000,15.514523,5.0658183
14662500000,15.379158,-1.2452521
14730000000,15.935075,1.905708
14797500000,15.51095,5.1769838
14865000000,15.507407,-0.70167679
14932500000,16.15419,1.1924646
15000000000,15.737494,4.8152256
END

