Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4850000000,-21.664852,-115.35664,16.678545,-1.3468424,-8.3930655,116.48744
4855000000,-21.816917,-134.02853,16.631042,-2.0195928,-8.6452045,81.498512
4860000000,-22.08745,-152.45815,16.573235,-2.6131015,-9.0160713,47.433697
4865000000,-22.037603,-169.24956,16.512957,-3.0207019,-8.9812984,14.823555
4870000000,-21.784979,171.96732,16.474236,-3.0618942,-8.8216219,-19.823519
4875000000,-21.487398,150.55487,16.464373,-2.7757306,-8.5075998,-56.239712
4880000000,-21.609915,130.28435,16.480505,-2.3325603,-8.6106386,-91.292908
4885000000,-21.682484,108.46743,16.510002,-1.9258028,-8.6542997,-128.51956
4890000000,-22.203251,90.384003,16.546148,-1.6132512,-9.1143751,-161.3325
4895000000,-22.020506,73.598427,16.575121,-1.4511577,-8.8198051,166.10814
4900000000,-22.133646,53.606445,16.588472,-1.4928161,-8.8803062,130.71391
4905000000,-22.028669,36.179859,16.577692,-1.6656229,-8.6980562,96.923958
4910000000,-21.750252,17.915627,16.551218,-1.8352966,-8.4943895,62.086483
4915000000,-21.615824,-1.1389825,16.533354,-1.8390464,-8.3735018,27.132359
4920000000,-21.215391,-20.94846,16.525063,-1.6395707,-8.0010071,-8.4551754
4925000000,-21.204752,-44.365395,16.542074,-1.1609467,-7.9690461,-46.836246
4930000000,-21.453337,-64.819565,16.592949,-0.56538969,-8.1557331,-82.596245
4935000000,-21.617481,-82.004822,16.65733,0.010096519,-8.2510023,-115.23119
4940000000,-21.608551,-102.27444,16.717188,0.29907376,-8.2367077,-151.24075
4945000000,-21.440889,-121.31259,16.747534,0.14253083,-8.1569242,173.74965
4950000000,-21.443521,-141.69928,16.744181,-0.42218599,-8.2814255,137.53105
4955000000,-21.472399,-161.76959,16.715836,-1.1759669,-8.3631783,101.68317
4960000000,-21.601057,179.15535,16.666979,-2.024395,-8.4927845,66.440079
4965000000,-21.794487,158.81389,16.591742,-2.9225428,-8.6857214,30.078873
4970000000,-21.621037,141.04031,16.522093,-3.4120939,-8.5295172,-4.0430074
4975000000,-21.613033,120.41151,16.480059,-3.461853,-8.3548794,-40.956257
4980000000,-21.829679,101.51556,16.469265,-3.246412,-8.5994129,-76.609062
4985000000,-21.470819,81.055939,16.472481,-2.9858222,-8.3849707,-113.21764
4990000000,-21.609898,59.438732,16.476759,-2.8125217,-8.6900434,-149.66447
4995000000,-22.093861,38.89056,16.475342,-2.674937,-9.150301,174.21504
5000000000,-22.160439,21.300241,16.481398,-2.4719217,-9.3318243,141.47949
END,,,,,,
