Freq(Hz),S12(DB),S12(DEG)
4000000000,-54.522919,-122.79668
4004511278.1955,-45.677414,-153.40649
4009022556.391,-43.365677,-179.52808
4013533834.5865,-46.844067,151.48726
4018045112.782,-49.44651,170.94675
4022556390.9774,-43.320915,171.48872
4027067669.1729,-42.057064,149.89474
4031578947.3684,-42.703945,112.42735
4036090225.5639,-43.406322,106.47416
4040601503.7594,-40.899197,102.25597
4045112781.9549,-43.06879,85.175179
4049624060.1504,-39.263012,77.673729
4054135338.3459,-37.926342,49.735706
4058646616.5414,-37.103329,31.061256
4063157894.7368,-38.195427,15.349163
4067669172.9323,-35.601551,-18.089083
4072180451.1278,-41.129593,-43.437496
4076691729.3233,-39.494274,-31.495096
4081203007.5188,-37.426422,-50.134277
4085714285.7143,-36.722931,-73.251099
4090225563.9098,-38.322487,-107.75253
4094736842.1053,-41.796875,-109.97604
4099248120.3008,-39.778599,-108.54903
4103759398.4962,-35.413578,-127.54578
4108270676.6917,-36.099472,-163.53394
4112781954.8872,-37.669746,169.54141
4117293233.0827,-40.211632,157.54929
4121804511.2782,-39.068642,152.57004
4126315789.4737,-35.829636,132.6472
4130827067.6692,-35.808605,88.80127
4135338345.8647,-38.135284,66.260063
4139849624.0602,-39.318233,49.288116
4144360902.2556,-39.09684,32.611012
4148872180.4511,-42.407471,-1.0366246
4153383458.6466,-44.796638,1.1048986
4157894736.8421,-41.841076,3.7697244
4162406015.0376,-40.493176,-19.688744
4166917293.2331,-38.521187,-56.224377
4171428571.4286,-41.666874,-85.048325
4175939849.6241,-42.812675,-94.174339
4180451127.8195,-42.806854,-111.78057
4184962406.015,-44.006039,-129.40071
4189473684.2105,-45.661526,-150.87064
4193984962.406,-48.28553,-146.6758
4198496240.6015,-45.450657,-157.75104
4203007518.797,-41.200802,-172.63174
4207518796.9925,-39.937443,146.40565
4212030075.188,-44.431683,134.19676
4216541353.3835,-39.466137,117.0773
4221052631.5789,-39.690334,83.705544
4225563909.7744,-41.316311,55.792213
4230075187.9699,-43.518841,47.302254
4234586466.1654,-40.072018,46.546883
4239097744.3609,-39.759937,-6.1927509
4243609022.5564,-49.893581,-17.916494
4248120300.7519,-40.054375,7.328619
4252631578.9474,-39.200668,-25.148052
4257142857.1429,-38.40823,-54.022926
4261654135.3383,-38.417835,-81.699188
4266165413.5338,-41.280102,-88.12632
4270676691.7293,-39.193302,-102.97849
4275187969.9248,-38.594872,-124.85617
4279699248.1203,-40.354324,-148.46179
4284210526.3158,-41.074924,-155.60448
4288721804.5113,-40.775696,-164.04158
4293233082.7068,-39.963989,-166.70479
4297744360.9023,-40.111897,176.14137
4302255639.0977,-39.964684,165.09566
4306766917.2932,-38.060291,164.10664
4311278195.4887,-36.549686,138.60698
4315789473.6842,-37.28141,123.15803
4320300751.8797,-34.963341,98.793877
4324812030.0752,-38.259773,81.356514
